图书排行,书名,缩略图地址,图书地址,作者,译者,出版社,定价,京东价
38,C++网络编程（卷2）：基于ACE和框架的系统化复用,http://img10.360buyimg.com/n3/g5/M00/02/18/rBEIDE_VWzkIAAAAAADvWr2lhy4AAAitwCoCp0AAO9y204.jpg,http://book.360buy.com/11007834.html,（美）休,王成章,科学出版社,67.00,53.60
39,Java7入门经典,http://img10.360buyimg.com/n3/g5/M02/14/18/rBEIDFAE_h8IAAAAAADUNK9Q3tIAAEDjwJnhHoAANRM759.jpg,http://book.360buy.com/11045511.html,（美）I,梁峰,清华大学出版社,118.00,97.90
40,面向对象分析与设计（第3版）,http://img10.360buyimg.com/n3/g5/M02/14/1E/rBEIDFAGWgsIAAAAAAFSGsJCfkgAAEF1QMY4WIAAVIy101.jpg,http://book.360buy.com/11046387.html,（美）G,王海鹏,电子工业出版社,99.00,74.30
41,ACE技术内幕：深入解析ACE架构设计与实现原理,http://img10.360buyimg.com/n3/g5/M02/14/01/rBEIC0_-P_cIAAAAAAD2TYAI9-gAAD6vgIN5ZYAAPZl605.jpg,http://book.360buy.com/11040339.html,机械工业出版社,,机械工业出版社,69.00,54.50
42,3D游戏编程大师技巧（套装上下册）（附CD光盘1张）,http://img10.360buyimg.com/n3/g1/M00/06/13/rBEGDlAYi2AIAAAAAAFhgOap8ZkAABSzwNTI0AAAWGY690.jpg,http://book.360buy.com/11047263.html,（美）A,李祥瑞,人民邮电出版社,148.00,106.60
43,5天通过职称计算机考试：Word 2003中文字处理（考点视频串讲＋全真模拟）,http://img10.360buyimg.com/n3/g5/M02/1B/16/rBEIC1AYrJMIAAAAAAGBq-lSdVAAAFaQwKhUHoAAYHD647.jpg,http://book.360buy.com/11054495.html,,,清华大学出版社,29.00,23.10
44,内存数据管理（第2版）,http://img10.360buyimg.com/n3/g9/M03/00/0B/rBEHaVAyAk4IAAAAAAEeYGarY-cAAAEeQLq_ZIAAR54693.jpg,http://book.360buy.com/11068002.html,（德）哈,SAP,清华大学出版社,49.80,39.50
45,Photoshop CS6数码照片处理从新手到高手（中文版）（附DVD光盘1张）,http://img10.360buyimg.com/n3/g7/M03/00/15/rBEHZVA3WnUIAAAAAAEtilHa8y4AAAISwPbFxMAAS2i856.jpg,http://book.360buy.com/11069055.html,,,人民邮电出版社,89.00,72.70
46,网管员世界（2012超值精华本）,http://img10.360buyimg.com/n3/g5/M02/12/1F/rBEIDE_0_K0IAAAAAAFGzqelQnMAADtJwOFxJAAAUbm747.jpg,http://book.360buy.com/11026534.html,,,电子工业出版社,69.00,54.50
47,代码质量,http://img10.360buyimg.com/n3/g5/M02/14/1E/rBEDilAGVf4IAAAAAAEqgjoYO2QAAEFxQGU6iYAASqa457.jpg,http://book.360buy.com/11046388.html,（希）D,左飞,电子工业出版社,89.00,70.30
48,iPhone UIKit详解（双色）,http://img10.360buyimg.com/n3/g5/M02/15/04/rBEDilAHtjcIAAAAAAE_QwZoVq8AAEIKwO9N7gAAT9b175.jpg,http://book.360buy.com/11042335.html,电子工业出版社,,电子工业出版社,79.00,62.40
49,代码阅读（含光盘1张）,http://img10.360buyimg.com/n3/g5/M02/14/1E/rBEIC1AGVZUIAAAAAAFlL0uG5W4AAEFwwPF0egAAWVH087.jpg,http://book.360buy.com/11046389.html,（希）D,左飞,电子工业出版社,79.00,65.50
50,iOS5编程揭秘：iPhone与iPad应用开发入门,http://img10.360buyimg.com/n3/g5/M02/14/13/rBEDilADwkcIAAAAAAD7gjfDlKsAAEByQPP2YQAAPua148.jpg,http://book.360buy.com/11039425.html,清华大学出版社,,清华大学出版社,89.00,66.80
51,Excel高效办公：生产管理（修订版）（附CD光盘1张）,http://img10.360buyimg.com/n3/g2/M04/06/13/rBEGElAXTkcIAAAAAAFIkpepOZAAABSbQO6i4YAAUiq959.jpg,http://book.360buy.com/11042700.html,人民邮电出版社,,人民邮电出版社,55.00,43.50
52,超越CSS：Web设计艺术精髓（修订版）,http://img10.360buyimg.com/n3/g4/M00/06/13/rBEGFlAYi4QIAAAAAAJB-HHkxCkAABSzwLHoosAAkIQ721.jpg,http://book.360buy.com/11051487.html,（英）A,谭振林,人民邮电出版社,69.00,56.40
53,Java 7程序设计,http://img10.360buyimg.com/n3/g5/M02/1B/12/rBEDilASU4QIAAAAAADgZxF0LqAAAFYtgEgJuUAAOB_188.jpg,http://book.360buy.com/11053132.html,（加）克,俞黎敏,机械工业出版社,79.00,57.70
54,Go语言编程,http://img10.360buyimg.com/n3/g6/M03/00/00/rBEGDFAqINsIAAAAAAI2CzSXvvAAAAAMQMaF24AAjYj182.jpg,http://book.360buy.com/11067810.html,人民邮电出版社,,人民邮电出版社,49.00,36.80
55,AIR Android应用开发实战,http://img10.360buyimg.com/n3/g7/M03/04/06/rBEHZlA8aAEIAAAAAADXNyzXl8kAAA0YAJ51okAANdP311.jpg,http://book.360buy.com/11071195.html,机械工业出版社,,机械工业出版社,69.00,56.40
